"severity","issueId","issueDescription","wcagConformance","url","context","howToFix","axeImpact","xpath","learnMore"
"mustFix","target-size","All touch targets must be 24px large, or leave sufficient space","wcag22aa,wcag258","http://0.0.0.0:8000/","<a id=""anchor-tag-with-href"" href=""/1.html"" role=""link"">                Anchor tag with href to page 1 (blacklisted)            </a>","Fix any of the following:   Target has insufficient size (1904px by 18.5px, should be at least 24px by 24px)   Target has insufficient space to its closest neighbors. Safe clickable space has a diameter of 13px instead of at least 24px.","serious","a[href=""/1.html""]","https://dequeuniversity.com/rules/axe/4.9/target-size?application=purple-a11y"
"mustFix","target-size","All touch targets must be 24px large, or leave sufficient space","wcag22aa,wcag258","http://0.0.0.0:8000/","<a id=""anchor-tag-with-href"" href=""/2.html"" role=""link"">                Anchor tag with href to page 2            </a>","Fix any of the following:   Target has insufficient size (1904px by 18.5px, should be at least 24px by 24px)   Target has insufficient space to its closest neighbors. Safe clickable space has a diameter of 13px instead of at least 24px.","serious","a[href=""/2.html""]","https://dequeuniversity.com/rules/axe/4.9/target-size?application=purple-a11y"
"mustFix","target-size","All touch targets must be 24px large, or leave sufficient space","wcag22aa,wcag258","http://0.0.0.0:8000/","<a id=""anchor-tag-with-href"" href=""/8.html"" role=""link"">                Anchor tag with href to page 8            </a>","Fix any of the following:   Target has insufficient size (1904px by 18.5px, should be at least 24px by 24px)   Target has insufficient space to its closest neighbors. Safe clickable space has a diameter of 13px instead of at least 24px.","serious","a[href=""/8.html""]","https://dequeuniversity.com/rules/axe/4.9/target-size?application=purple-a11y"
"mustFix","target-size","All touch targets must be 24px large, or leave sufficient space","wcag22aa,wcag258","http://0.0.0.0:8000/","<a id=""anchor-tag-with-href"" href=""/9.html"" role=""link"">                Anchor tag with href to page 9            </a>","Fix any of the following:   Target has insufficient size (1904px by 18.5px, should be at least 24px by 24px)   Target has insufficient space to its closest neighbors. Safe clickable space has a diameter of 13px instead of at least 24px.","serious","a[href=""/9.html""]","https://dequeuniversity.com/rules/axe/4.9/target-size?application=purple-a11y"
"mustFix","target-size","All touch targets must be 24px large, or leave sufficient space","wcag22aa,wcag258","http://0.0.0.0:8000/","<a id=""anchor-tag-with-href"" href=""/10.html"" role=""link"">                Anchor tag with href to page 10            </a>","Fix any of the following:   Target has insufficient size (1904px by 18.5px, should be at least 24px by 24px)   Target has insufficient space to its closest neighbors. Safe clickable space has a diameter of 13px instead of at least 24px.","serious","a[href$=""10.html""]","https://dequeuniversity.com/rules/axe/4.9/target-size?application=purple-a11y"
"mustFix","target-size","All touch targets must be 24px large, or leave sufficient space","wcag22aa,wcag258","http://0.0.0.0:8000/","<a id=""anchor-tag-with-href"" href=""/11.html"" role=""link"">                Anchor tag with href to page 11            </a>","Fix any of the following:   Target has insufficient size (1904px by 18.5px, should be at least 24px by 24px)   Target has insufficient space to its closest neighbors. Safe clickable space has a diameter of 13px instead of at least 24px.","serious","a[href$=""11.html""]","https://dequeuniversity.com/rules/axe/4.9/target-size?application=purple-a11y"
"mustFix","target-size","All touch targets must be 24px large, or leave sufficient space","wcag22aa,wcag258","http://0.0.0.0:8000/","<a id=""anchor-tag-with-href"" href=""/12.html"" role=""link"">                Anchor tag with href to page 12            </a>","Fix any of the following:   Target has insufficient size (1904px by 18.5px, should be at least 24px by 24px)   Target has insufficient space to its closest neighbors. Safe clickable space has a diameter of 13px instead of at least 24px.","serious","a[href$=""12.html""]","https://dequeuniversity.com/rules/axe/4.9/target-size?application=purple-a11y"
"mustFix","target-size","All touch targets must be 24px large, or leave sufficient space","wcag22aa,wcag258","http://0.0.0.0:8000/","<a id=""anchor-tag-with-href"" href=""/13.html"" role=""link"">                Anchor tag with href to page 13            </a>","Fix any of the following:   Target has insufficient size (1904px by 18.5px, should be at least 24px by 24px)   Target has insufficient space to its closest neighbors. Safe clickable space has a diameter of 13px instead of at least 24px.","serious","a[href$=""13.html""]","https://dequeuniversity.com/rules/axe/4.9/target-size?application=purple-a11y"
"mustFix","target-size","All touch targets must be 24px large, or leave sufficient space","wcag22aa,wcag258","http://0.0.0.0:8000/","<a id=""anchor-tag-with-href"" href=""/14.html"" role=""link"">                Anchor tag with href to page 14            </a>","Fix any of the following:   Target has insufficient size (1904px by 18.5px, should be at least 24px by 24px)   Target has insufficient space to its closest neighbors. Safe clickable space has a diameter of 13px instead of at least 24px.","serious","a[href$=""14.html""]","https://dequeuniversity.com/rules/axe/4.9/target-size?application=purple-a11y"
"mustFix","target-size","All touch targets must be 24px large, or leave sufficient space","wcag22aa,wcag258","http://0.0.0.0:8000/","<a id=""anchor-tag-with-href"" href=""/15.html"" role=""link"">                Anchor tag with href to page 15            </a>","Fix any of the following:   Target has insufficient size (1904px by 18.5px, should be at least 24px by 24px)   Target has insufficient space to its closest neighbors. Safe clickable space has a diameter of 13px instead of at least 24px.","serious","a[href$=""15.html""]","https://dequeuniversity.com/rules/axe/4.9/target-size?application=purple-a11y"
"mustFix","target-size","All touch targets must be 24px large, or leave sufficient space","wcag22aa,wcag258","http://0.0.0.0:8000/","<a id=""anchor-tag-with-href"" href=""/16.html"" role=""link"">                Anchor tag with href to page 16            </a>","Fix any of the following:   Target has insufficient size (1904px by 18.5px, should be at least 24px by 24px)   Target has insufficient space to its closest neighbors. Safe clickable space has a diameter of 13px instead of at least 24px.","serious","a[href$=""16.html""]","https://dequeuniversity.com/rules/axe/4.9/target-size?application=purple-a11y"
"mustFix","target-size","All touch targets must be 24px large, or leave sufficient space","wcag22aa,wcag258","http://0.0.0.0:8000/","<a id=""anchor-tag-with-href"" href=""/17.html"" role=""link"">                Anchor tag with href to page 17            </a>","Fix any of the following:   Target has insufficient size (1904px by 18.5px, should be at least 24px by 24px)   Target has insufficient space to its closest neighbors. Safe clickable space has a diameter of 13px instead of at least 24px.","serious","a[href$=""17.html""]","https://dequeuniversity.com/rules/axe/4.9/target-size?application=purple-a11y"
"mustFix","target-size","All touch targets must be 24px large, or leave sufficient space","wcag22aa,wcag258","http://0.0.0.0:8000/","<a id=""anchor-tag-with-href"" href=""/18.html"" role=""link"">                Anchor tag with href to page 18            </a>","Fix any of the following:   Target has insufficient size (1904px by 18.5px, should be at least 24px by 24px)   Target has insufficient space to its closest neighbors. Safe clickable space has a diameter of 13px instead of at least 24px.","serious","a[href$=""18.html""]","https://dequeuniversity.com/rules/axe/4.9/target-size?application=purple-a11y"
"mustFix","target-size","All touch targets must be 24px large, or leave sufficient space","wcag22aa,wcag258","http://0.0.0.0:8000/","<a id=""anchor-tag-with-href"" href=""/19.html"" role=""link"">                Anchor tag with href to page 19            </a>","Fix any of the following:   Target has insufficient size (1904px by 18.5px, should be at least 24px by 24px)   Target has insufficient space to its closest neighbors. Safe clickable space has a diameter of 13px instead of at least 24px.","serious","a[href$=""19.html""]","https://dequeuniversity.com/rules/axe/4.9/target-size?application=purple-a11y"
"mustFix","target-size","All touch targets must be 24px large, or leave sufficient space","wcag22aa,wcag258","http://0.0.0.0:8000/","<a id=""anchor-tag-with-href"" href=""/20.html"" role=""link"">                Anchor tag with href to page 20            </a>","Fix any of the following:   Target has insufficient size (1904px by 18.5px, should be at least 24px by 24px)   Target has insufficient space to its closest neighbors. Safe clickable space has a diameter of 13px instead of at least 24px.","serious","a[href$=""20.html""]","https://dequeuniversity.com/rules/axe/4.9/target-size?application=purple-a11y"
"mustFix","target-size","All touch targets must be 24px large, or leave sufficient space","wcag22aa,wcag258","http://0.0.0.0:8000/","<a id=""anchor-tag-with-href"" href=""/21.html"" role=""link"">                Anchor tag with href to page 21            </a>","Fix any of the following:   Target has insufficient size (1904px by 18.5px, should be at least 24px by 24px)   Target has insufficient space to its closest neighbors. Safe clickable space has a diameter of 13px instead of at least 24px.","serious","a[href$=""21.html""]","https://dequeuniversity.com/rules/axe/4.9/target-size?application=purple-a11y"
"mustFix","target-size","All touch targets must be 24px large, or leave sufficient space","wcag22aa,wcag258","http://0.0.0.0:8000/","<a id=""anchor-tag-with-href"" href=""/22.html"" role=""link"">                Anchor tag with href to page 22            </a>","Fix any of the following:   Target has insufficient size (1904px by 18.5px, should be at least 24px by 24px)   Target has insufficient space to its closest neighbors. Safe clickable space has a diameter of 13px instead of at least 24px.","serious","a[href$=""22.html""]","https://dequeuniversity.com/rules/axe/4.9/target-size?application=purple-a11y"
"mustFix","target-size","All touch targets must be 24px large, or leave sufficient space","wcag22aa,wcag258","http://0.0.0.0:8000/","<a id=""anchor-tag-with-href"" href=""/23.html"" role=""link"">                Anchor tag with href to page 23            </a>","Fix any of the following:   Target has insufficient size (1904px by 18.5px, should be at least 24px by 24px)   Target has insufficient space to its closest neighbors. Safe clickable space has a diameter of 13px instead of at least 24px.","serious","a[href$=""23.html""]","https://dequeuniversity.com/rules/axe/4.9/target-size?application=purple-a11y"
"mustFix","target-size","All touch targets must be 24px large, or leave sufficient space","wcag22aa,wcag258","http://0.0.0.0:8000/","<a id=""anchor-tag-with-href"" href=""/24.html"" role=""link"">                Anchor tag with href to page 24            </a>","Fix any of the following:   Target has insufficient size (1904px by 18.5px, should be at least 24px by 24px)   Target has insufficient space to its closest neighbors. Safe clickable space has a diameter of 13px instead of at least 24px.","serious","a[href$=""24.html""]","https://dequeuniversity.com/rules/axe/4.9/target-size?application=purple-a11y"
"mustFix","target-size","All touch targets must be 24px large, or leave sufficient space","wcag22aa,wcag258","http://0.0.0.0:8000/","<a id=""anchor-tag-with-href"" href=""/25.html"" role=""link"">                Anchor tag with href to page 25            </a>","Fix any of the following:   Target has insufficient size (1904px by 18.5px, should be at least 24px by 24px)   Target has insufficient space to its closest neighbors. Safe clickable space has a diameter of 13px instead of at least 24px.","serious","a[href$=""25.html""]","https://dequeuniversity.com/rules/axe/4.9/target-size?application=purple-a11y"
"mustFix","target-size","All touch targets must be 24px large, or leave sufficient space","wcag22aa,wcag258","http://0.0.0.0:8000/","<a id=""anchor-tag-with-href"" href=""/26.html"" role=""link"">                Anchor tag with href to page 26            </a>","Fix any of the following:   Target has insufficient size (1904px by 18.5px, should be at least 24px by 24px)   Target has insufficient space to its closest neighbors. Safe clickable space has a diameter of 13px instead of at least 24px.","serious","a[href$=""26.html""]","https://dequeuniversity.com/rules/axe/4.9/target-size?application=purple-a11y"
"mustFix","target-size","All touch targets must be 24px large, or leave sufficient space","wcag22aa,wcag258","http://0.0.0.0:8000/","<a id=""anchor-tag-with-href"" href=""/27.html"" role=""link"">                Anchor tag with href to page 27            </a>","Fix any of the following:   Target has insufficient size (1904px by 18.5px, should be at least 24px by 24px)   Target has insufficient space to its closest neighbors. Safe clickable space has a diameter of 13px instead of at least 24px.","serious","a[href$=""27.html""]","https://dequeuniversity.com/rules/axe/4.9/target-size?application=purple-a11y"
"mustFix","target-size","All touch targets must be 24px large, or leave sufficient space","wcag22aa,wcag258","http://0.0.0.0:8000/","<a id=""anchor-tag-with-href"" href=""/28.html"" role=""link"">                Anchor tag with href to page 28            </a>","Fix any of the following:   Target has insufficient size (1904px by 18.5px, should be at least 24px by 24px)   Target has insufficient space to its closest neighbors. Safe clickable space has a diameter of 13px instead of at least 24px.","serious","a[href$=""28.html""]","https://dequeuniversity.com/rules/axe/4.9/target-size?application=purple-a11y"
"mustFix","target-size","All touch targets must be 24px large, or leave sufficient space","wcag22aa,wcag258","http://0.0.0.0:8000/","<a id=""anchor-tag-with-href"" href=""/29.html"" role=""link"">                Anchor tag with href to page 29            </a>","Fix any of the following:   Target has insufficient size (1904px by 18.5px, should be at least 24px by 24px)   Target has insufficient space to its closest neighbors. Safe clickable space has a diameter of 13px instead of at least 24px.","serious","a[href$=""29.html""]","https://dequeuniversity.com/rules/axe/4.9/target-size?application=purple-a11y"
"mustFix","target-size","All touch targets must be 24px large, or leave sufficient space","wcag22aa,wcag258","http://0.0.0.0:8000/","<a id=""anchor-tag-with-href"" href=""/30.html"" role=""link"">                Anchor tag with href to page 30            </a>","Fix any of the following:   Target has insufficient size (1904px by 18.5px, should be at least 24px by 24px)   Target has insufficient space to its closest neighbors. Safe clickable space has a diameter of 13px instead of at least 24px.","serious","a[href$=""30.html""]","https://dequeuniversity.com/rules/axe/4.9/target-size?application=purple-a11y"
"mustFix","target-size","All touch targets must be 24px large, or leave sufficient space","wcag22aa,wcag258","http://0.0.0.0:8000/","<a id=""anchor-tag-with-href"" href=""/31.html"" role=""link"">                Anchor tag with href to page 31            </a>","Fix any of the following:   Target has insufficient size (1904px by 18.5px, should be at least 24px by 24px)   Target has insufficient space to its closest neighbors. Safe clickable space has a diameter of 13px instead of at least 24px.","serious","a[href$=""31.html""]","https://dequeuniversity.com/rules/axe/4.9/target-size?application=purple-a11y"
"mustFix","target-size","All touch targets must be 24px large, or leave sufficient space","wcag22aa,wcag258","http://0.0.0.0:8000/","<a id=""anchor-tag-with-href"" href=""/32.html"" role=""link"">                Anchor tag with href to page 32            </a>","Fix any of the following:   Target has insufficient size (1904px by 18.5px, should be at least 24px by 24px)   Target has insufficient space to its closest neighbors. Safe clickable space has a diameter of 13px instead of at least 24px.","serious","a[href$=""32.html""]","https://dequeuniversity.com/rules/axe/4.9/target-size?application=purple-a11y"
"mustFix","target-size","All touch targets must be 24px large, or leave sufficient space","wcag22aa,wcag258","http://0.0.0.0:8000/","<a id=""anchor-tag-with-href"" href=""/33.html"" role=""link"">                Anchor tag with href to page 33            </a>","Fix any of the following:   Target has insufficient size (1904px by 18.5px, should be at least 24px by 24px)   Target has insufficient space to its closest neighbors. Safe clickable space has a diameter of 13px instead of at least 24px.","serious","a[href$=""33.html""]","https://dequeuniversity.com/rules/axe/4.9/target-size?application=purple-a11y"
"mustFix","target-size","All touch targets must be 24px large, or leave sufficient space","wcag22aa,wcag258","http://0.0.0.0:8000/","<a id=""anchor-tag-with-href"" href=""/34.html"" role=""link"">                Anchor tag with href to page 34            </a>","Fix any of the following:   Target has insufficient size (1904px by 18.5px, should be at least 24px by 24px)   Target has insufficient space to its closest neighbors. Safe clickable space has a diameter of 13px instead of at least 24px.","serious","a[href$=""34.html""]","https://dequeuniversity.com/rules/axe/4.9/target-size?application=purple-a11y"
"mustFix","target-size","All touch targets must be 24px large, or leave sufficient space","wcag22aa,wcag258","http://0.0.0.0:8000/","<a id=""anchor-tag-with-href"" href=""/35.html"" role=""link"">                Anchor tag with href to page 35            </a>","Fix any of the following:   Target has insufficient size (1904px by 18.5px, should be at least 24px by 24px)   Target has insufficient space to its closest neighbors. Safe clickable space has a diameter of 13px instead of at least 24px.","serious","a[href$=""35.html""]","https://dequeuniversity.com/rules/axe/4.9/target-size?application=purple-a11y"
"mustFix","target-size","All touch targets must be 24px large, or leave sufficient space","wcag22aa,wcag258","http://0.0.0.0:8000/","<a id=""anchor-tag-with-href"" href=""/36.html"" role=""link"">                Anchor tag with href to page 36            </a>","Fix any of the following:   Target has insufficient size (1904px by 18.5px, should be at least 24px by 24px)   Target has insufficient space to its closest neighbors. Safe clickable space has a diameter of 13px instead of at least 24px.","serious","a[href$=""36.html""]","https://dequeuniversity.com/rules/axe/4.9/target-size?application=purple-a11y"
"mustFix","target-size","All touch targets must be 24px large, or leave sufficient space","wcag22aa,wcag258","http://0.0.0.0:8000/","<a id=""anchor-tag-with-href"" href=""/37.html"" role=""link"">                Anchor tag with href to page 37            </a>","Fix any of the following:   Target has insufficient size (1904px by 18.5px, should be at least 24px by 24px)   Target has insufficient space to its closest neighbors. Safe clickable space has a diameter of 13px instead of at least 24px.","serious","a[href$=""37.html""]","https://dequeuniversity.com/rules/axe/4.9/target-size?application=purple-a11y"
"mustFix","target-size","All touch targets must be 24px large, or leave sufficient space","wcag22aa,wcag258","http://0.0.0.0:8000/","<a id=""anchor-tag-with-href"" href=""/38.html"" role=""link"">                Anchor tag with href to page 38            </a>","Fix any of the following:   Target has insufficient size (1904px by 18.5px, should be at least 24px by 24px)   Target has insufficient space to its closest neighbors. Safe clickable space has a diameter of 13px instead of at least 24px.","serious","a[href$=""38.html""]","https://dequeuniversity.com/rules/axe/4.9/target-size?application=purple-a11y"
"mustFix","target-size","All touch targets must be 24px large, or leave sufficient space","wcag22aa,wcag258","http://0.0.0.0:8000/","<a id=""anchor-tag-with-href"" href=""/39.html"" role=""link"">                Anchor tag with href to page 39            </a>","Fix any of the following:   Target has insufficient size (1904px by 18.5px, should be at least 24px by 24px)   Target has insufficient space to its closest neighbors. Safe clickable space has a diameter of 13px instead of at least 24px.","serious","a[href$=""39.html""]","https://dequeuniversity.com/rules/axe/4.9/target-size?application=purple-a11y"
"mustFix","target-size","All touch targets must be 24px large, or leave sufficient space","wcag22aa,wcag258","http://0.0.0.0:8000/","<a id=""anchor-tag-with-href"" href=""/40.html"" role=""link"">                Anchor tag with href to page 40            </a>","Fix any of the following:   Target has insufficient size (1904px by 18.5px, should be at least 24px by 24px)   Target has insufficient space to its closest neighbors. Safe clickable space has a diameter of 13px instead of at least 24px.","serious","a[href$=""40.html""]","https://dequeuniversity.com/rules/axe/4.9/target-size?application=purple-a11y"
"mustFix","target-size","All touch targets must be 24px large, or leave sufficient space","wcag22aa,wcag258","http://0.0.0.0:8000/","<a id=""anchor-tag-with-href"" href=""/41.html"" role=""link"">                Anchor tag with href to page 41            </a>","Fix any of the following:   Target has insufficient size (1904px by 18.5px, should be at least 24px by 24px)   Target has insufficient space to its closest neighbors. Safe clickable space has a diameter of 13px instead of at least 24px.","serious","a[href$=""41.html""]","https://dequeuniversity.com/rules/axe/4.9/target-size?application=purple-a11y"
"mustFix","target-size","All touch targets must be 24px large, or leave sufficient space","wcag22aa,wcag258","http://0.0.0.0:8000/","<a id=""anchor-tag-with-href"" href=""/42.html"" role=""link"">                Anchor tag with href to page 42            </a>","Fix any of the following:   Target has insufficient size (1904px by 18.5px, should be at least 24px by 24px)   Target has insufficient space to its closest neighbors. Safe clickable space has a diameter of 13px instead of at least 24px.","serious","a[href$=""42.html""]","https://dequeuniversity.com/rules/axe/4.9/target-size?application=purple-a11y"
"mustFix","target-size","All touch targets must be 24px large, or leave sufficient space","wcag22aa,wcag258","http://0.0.0.0:8000/","<a id=""anchor-tag-with-href"" href=""/43.html"" role=""link"">                Anchor tag with href to page 43            </a>","Fix any of the following:   Target has insufficient size (1904px by 18.5px, should be at least 24px by 24px)   Target has insufficient space to its closest neighbors. Safe clickable space has a diameter of 13px instead of at least 24px.","serious","a[href$=""43.html""]","https://dequeuniversity.com/rules/axe/4.9/target-size?application=purple-a11y"
"mustFix","target-size","All touch targets must be 24px large, or leave sufficient space","wcag22aa,wcag258","http://0.0.0.0:8000/","<a id=""anchor-tag-with-href"" href=""/44.html"" role=""link"">                Anchor tag with href to page 44            </a>","Fix any of the following:   Target has insufficient size (1904px by 18.5px, should be at least 24px by 24px)   Target has insufficient space to its closest neighbors. Safe clickable space has a diameter of 13px instead of at least 24px.","serious","a[href$=""44.html""]","https://dequeuniversity.com/rules/axe/4.9/target-size?application=purple-a11y"
"mustFix","target-size","All touch targets must be 24px large, or leave sufficient space","wcag22aa,wcag258","http://0.0.0.0:8000/","<a id=""anchor-tag-with-href"" href=""/45.html"" role=""link"">                Anchor tag with href to page 45            </a>","Fix any of the following:   Target has insufficient size (1904px by 18.5px, should be at least 24px by 24px)   Target has insufficient space to its closest neighbors. Safe clickable space has a diameter of 13px instead of at least 24px.","serious","a[href$=""45.html""]","https://dequeuniversity.com/rules/axe/4.9/target-size?application=purple-a11y"
"mustFix","target-size","All touch targets must be 24px large, or leave sufficient space","wcag22aa,wcag258","http://0.0.0.0:8000/","<a id=""anchor-tag-with-href"" href=""/46.html"" role=""link"">                Anchor tag with href to page 46            </a>","Fix any of the following:   Target has insufficient size (1904px by 18.5px, should be at least 24px by 24px)   Target has insufficient space to its closest neighbors. Safe clickable space has a diameter of 13px instead of at least 24px.","serious","a[href$=""46.html""]","https://dequeuniversity.com/rules/axe/4.9/target-size?application=purple-a11y"
"mustFix","target-size","All touch targets must be 24px large, or leave sufficient space","wcag22aa,wcag258","http://0.0.0.0:8000/","<a id=""anchor-tag-with-href"" href=""/47.html"" role=""link"">                Anchor tag with href to page 47            </a>","Fix any of the following:   Target has insufficient size (1904px by 18.5px, should be at least 24px by 24px)   Target has insufficient space to its closest neighbors. Safe clickable space has a diameter of 13px instead of at least 24px.","serious","a[href$=""47.html""]","https://dequeuniversity.com/rules/axe/4.9/target-size?application=purple-a11y"
"mustFix","target-size","All touch targets must be 24px large, or leave sufficient space","wcag22aa,wcag258","http://0.0.0.0:8000/","<a id=""anchor-tag-with-href"" href=""/48.html"" role=""link"">                Anchor tag with href to page 48            </a>","Fix any of the following:   Target has insufficient size (1904px by 18.5px, should be at least 24px by 24px)   Target has insufficient space to its closest neighbors. Safe clickable space has a diameter of 13px instead of at least 24px.","serious","a[href$=""48.html""]","https://dequeuniversity.com/rules/axe/4.9/target-size?application=purple-a11y"
